日期,股票代码,名称,收盘价,开盘价
2019-01-11,'600614,鹏起科技,5.7,5.16
2019-01-10,'600614,鹏起科技,5.72,5.73
2019-01-09,'600614,鹏起科技,6.35,6.0
2019-01-08,'600614,鹏起科技,5.8,5.8
2019-01-07,'600614,鹏起科技,5.27,5.27
2019-01-04,'600614,鹏起科技,4.79,4.79
2019-01-03,'600614,鹏起科技,4.35,4.33
2019-01-02,'600614,鹏起科技,3.95,3.85
2018-12-28,'600614,鹏起科技,3.59,3.45
2018-12-27,'600614,鹏起科技,3.26,3.37
2018-12-26,'600614,鹏起科技,3.31,3.37
2018-12-25,'600614,鹏起科技,3.36,3.36
2018-12-24,'600614,鹏起科技,3.42,3.44
2018-12-21,'600614,鹏起科技,3.43,3.4
2018-12-20,'600614,鹏起科技,3.4,3.37
2018-12-19,'600614,鹏起科技,3.4,3.45
2018-12-18,'600614,鹏起科技,3.41,3.4
2018-12-17,'600614,鹏起科技,3.49,3.46
2018-12-14,'600614,鹏起科技,3.45,3.65
2018-12-13,'600614,鹏起科技,3.65,3.66
2018-12-12,'600614,鹏起科技,3.65,3.72
2018-12-11,'600614,鹏起科技,3.71,3.64
2018-12-10,'600614,鹏起科技,3.62,3.69
2018-12-07,'600614,鹏起科技,3.71,3.75
2018-12-06,'600614,鹏起科技,3.72,3.7
2018-12-05,'600614,鹏起科技,3.79,3.78
2018-12-04,'600614,鹏起科技,3.9,3.81
2018-12-03,'600614,鹏起科技,3.8,3.82
2018-11-30,'600614,鹏起科技,3.73,3.8
2018-11-29,'600614,鹏起科技,3.93,3.64
2018-11-28,'600614,鹏起科技,3.62,3.59
2018-11-27,'600614,鹏起科技,3.58,3.62
2018-11-26,'600614,鹏起科技,3.59,3.59
2018-11-23,'600614,鹏起科技,3.7,4.0
2018-11-22,'600614,鹏起科技,4.11,4.29
2018-11-21,'600614,鹏起科技,4.21,3.85
2018-11-20,'600614,鹏起科技,3.96,4.19
2018-11-19,'600614,鹏起科技,4.23,4.18
2018-11-16,'600614,鹏起科技,4.24,4.05
2018-11-15,'600614,鹏起科技,4.08,3.99
2018-11-14,'600614,鹏起科技,4.03,4.01
2018-11-13,'600614,鹏起科技,4.04,3.86
2018-11-12,'600614,鹏起科技,3.91,3.67
2018-11-09,'600614,鹏起科技,3.7,3.69
2018-11-08,'600614,鹏起科技,3.74,3.8
2018-11-07,'600614,鹏起科技,3.83,3.8
2018-11-06,'600614,鹏起科技,3.81,3.77
2018-11-05,'600614,鹏起科技,3.83,3.64
2018-11-02,'600614,鹏起科技,3.67,3.63
2018-11-01,'600614,鹏起科技,3.6,4.0
2018-10-31,'600614,鹏起科技,3.64,3.38
2018-10-30,'600614,鹏起科技,3.31,3.26
2018-10-29,'600614,鹏起科技,3.25,3.33
2018-10-26,'600614,鹏起科技,3.31,3.42
2018-10-25,'600614,鹏起科技,3.34,3.26
2018-10-24,'600614,鹏起科技,3.39,3.34
2018-10-23,'600614,鹏起科技,3.45,3.5
2018-10-22,'600614,鹏起科技,3.45,3.33
2018-10-19,'600614,鹏起科技,3.3,3.11
2018-10-18,'600614,鹏起科技,3.21,3.47
2018-10-17,'600614,鹏起科技,3.53,3.55
2018-10-16,'600614,鹏起科技,3.5,3.67
2018-10-15,'600614,鹏起科技,3.72,3.72
2018-10-12,'600614,鹏起科技,4.13,4.49
2018-10-11,'600614,鹏起科技,4.58,4.72
2018-10-10,'600614,鹏起科技,5.09,5.2
2018-10-09,'600614,鹏起科技,5.24,5.2
2018-10-08,'600614,鹏起科技,5.51,5.25
2018-09-28,'600614,鹏起科技,5.15,4.67
2018-09-27,'600614,鹏起科技,4.68,4.5
2018-09-26,'600614,鹏起科技,4.49,4.52
2018-09-25,'600614,鹏起科技,4.52,4.57
2018-09-21,'600614,鹏起科技,4.56,4.57
2018-09-20,'600614,鹏起科技,4.56,4.52
2018-09-19,'600614,鹏起科技,4.5,4.28
2018-09-18,'600614,鹏起科技,4.28,4.17
2018-09-17,'600614,鹏起科技,4.19,4.44
2018-09-14,'600614,鹏起科技,4.48,4.51
2018-09-13,'600614,鹏起科技,4.5,4.51
2018-09-12,'600614,鹏起科技,4.47,4.4
2018-09-11,'600614,鹏起科技,4.41,4.37
2018-09-10,'600614,鹏起科技,4.37,4.53
2018-09-07,'600614,鹏起科技,4.55,4.43
2018-09-06,'600614,鹏起科技,4.4,4.47
2018-09-05,'600614,鹏起科技,4.52,4.53
2018-09-04,'600614,鹏起科技,4.53,4.45
2018-09-03,'600614,鹏起科技,4.45,4.36
2018-08-31,'600614,鹏起科技,4.36,4.46
2018-08-30,'600614,鹏起科技,4.45,4.58
2018-08-29,'600614,鹏起科技,4.56,4.62
2018-08-28,'600614,鹏起科技,4.65,4.59
2018-08-27,'600614,鹏起科技,4.58,4.5
2018-08-24,'600614,鹏起科技,4.52,4.55
2018-08-23,'600614,鹏起科技,4.57,4.6
2018-08-22,'600614,鹏起科技,4.6,4.61
2018-08-21,'600614,鹏起科技,4.58,4.58
2018-08-20,'600614,鹏起科技,4.56,4.48
2018-08-17,'600614,鹏起科技,4.49,4.84
2018-08-16,'600614,鹏起科技,4.82,4.85
2018-08-15,'600614,鹏起科技,4.91,5.09
2018-08-14,'600614,鹏起科技,5.12,4.98
2018-08-13,'600614,鹏起科技,4.97,4.9
2018-08-10,'600614,鹏起科技,4.96,4.88
2018-08-09,'600614,鹏起科技,4.91,4.84
2018-08-08,'600614,鹏起科技,4.82,5.05
2018-08-07,'600614,鹏起科技,5.05,4.97
2018-08-06,'600614,鹏起科技,4.94,5.03
2018-08-03,'600614,鹏起科技,4.96,5.08
2018-08-02,'600614,鹏起科技,5.09,5.31
2018-08-01,'600614,鹏起科技,5.35,5.47
2018-07-31,'600614,鹏起科技,5.43,5.34
2018-07-30,'600614,鹏起科技,5.35,5.49
2018-07-27,'600614,鹏起科技,5.57,5.63
2018-07-26,'600614,鹏起科技,5.65,5.66
2018-07-25,'600614,鹏起科技,5.63,5.58
2018-07-24,'600614,鹏起科技,5.53,5.38
2018-07-23,'600614,鹏起科技,5.41,5.33
2018-07-20,'600614,鹏起科技,5.35,5.3
2018-07-19,'600614,鹏起科技,5.33,5.51
2018-07-18,'600614,鹏起科技,5.51,5.43
2018-07-17,'600614,鹏起科技,5.44,5.42
2018-07-16,'600614,鹏起科技,5.46,5.42
2018-07-13,'600614,鹏起科技,5.45,5.59
2018-07-12,'600614,鹏起科技,5.59,5.38
2018-07-11,'600614,鹏起科技,5.4,5.59
2018-07-10,'600614,鹏起科技,5.66,5.62
2018-07-09,'600614,鹏起科技,5.64,5.6
2018-07-06,'600614,鹏起科技,5.41,5.0
2018-07-05,'600614,鹏起科技,4.92,5.47
2018-07-04,'600614,鹏起科技,5.44,5.61
2018-07-03,'600614,鹏起科技,5.61,5.61
2018-07-02,'600614,鹏起科技,5.61,5.69
2018-06-29,'600614,鹏起科技,5.71,5.52
2018-06-28,'600614,鹏起科技,5.49,5.7
2018-06-27,'600614,鹏起科技,5.66,5.49
2018-06-26,'600614,鹏起科技,5.46,5.28
2018-06-25,'600614,鹏起科技,5.37,5.5
2018-06-22,'600614,鹏起科技,5.46,5.37
2018-06-21,'600614,鹏起科技,5.37,5.89
2018-06-20,'600614,鹏起科技,5.92,5.81
2018-06-19,'600614,鹏起科技,5.91,6.28
2018-06-15,'600614,鹏起科技,6.57,6.81
2018-06-14,'600614,鹏起科技,6.79,6.84
2018-06-13,'600614,鹏起科技,6.84,6.98
2018-06-12,'600614,鹏起科技,7.03,6.98
2018-06-11,'600614,鹏起科技,7.06,6.95
2018-06-08,'600614,鹏起科技,6.99,7.2
2018-06-07,'600614,鹏起科技,7.2,7.0
2018-06-06,'600614,鹏起科技,6.99,7.1
2018-06-05,'600614,鹏起科技,7.08,7.07
2018-06-04,'600614,鹏起科技,7.0,7.05
2018-06-01,'600614,鹏起科技,7.01,7.23
2018-05-31,'600614,鹏起科技,7.19,7.18
2018-05-30,'600614,鹏起科技,7.15,7.2
2018-05-29,'600614,鹏起科技,7.3,7.24
2018-05-28,'600614,鹏起科技,7.19,7.42
2018-05-25,'600614,鹏起科技,7.54,7.64
2018-05-24,'600614,鹏起科技,7.62,7.55
2018-05-23,'600614,鹏起科技,7.52,7.74
2018-05-22,'600614,鹏起科技,7.74,7.76
2018-05-21,'600614,鹏起科技,7.79,7.89
2018-05-18,'600614,鹏起科技,7.86,7.99
2018-05-17,'600614,鹏起科技,7.81,7.8
2018-05-16,'600614,鹏起科技,7.83,7.53
2018-05-15,'600614,鹏起科技,7.47,6.82
2018-05-14,'600614,鹏起科技,6.79,6.87
2018-05-11,'600614,鹏起科技,6.83,7.22
2018-05-10,'600614,鹏起科技,7.22,7.45
2018-05-09,'600614,鹏起科技,7.44,7.48
2018-05-08,'600614,鹏起科技,7.47,7.4
2018-05-07,'600614,鹏起科技,7.38,7.4
2018-05-04,'600614,鹏起科技,7.35,7.49
2018-05-03,'600614,鹏起科技,7.51,7.55
2018-05-02,'600614,鹏起科技,7.41,7.41
2018-04-27,'600614,鹏起科技,8.23,8.23
2018-04-26,'600614,鹏起科技,9.14,9.14
2018-04-25,'600614,鹏起科技,0.0,0.0
2018-04-24,'600614,鹏起科技,0.0,0.0
2018-04-23,'600614,鹏起科技,0.0,0.0
2018-04-20,'600614,鹏起科技,0.0,0.0
2018-04-19,'600614,鹏起科技,0.0,0.0
2018-04-18,'600614,鹏起科技,0.0,0.0
2018-04-17,'600614,鹏起科技,0.0,0.0
2018-04-16,'600614,鹏起科技,0.0,0.0
2018-04-13,'600614,鹏起科技,0.0,0.0
2018-04-12,'600614,鹏起科技,0.0,0.0
2018-04-11,'600614,鹏起科技,0.0,0.0
2018-04-10,'600614,鹏起科技,0.0,0.0
2018-04-09,'600614,鹏起科技,0.0,0.0
2018-04-04,'600614,鹏起科技,0.0,0.0
2018-04-03,'600614,鹏起科技,0.0,0.0
2018-04-02,'600614,鹏起科技,0.0,0.0
2018-03-30,'600614,鹏起科技,0.0,0.0
2018-03-29,'600614,鹏起科技,0.0,0.0
2018-03-28,'600614,鹏起科技,0.0,0.0
2018-03-27,'600614,鹏起科技,0.0,0.0
2018-03-26,'600614,鹏起科技,0.0,0.0
2018-03-23,'600614,鹏起科技,0.0,0.0
2018-03-22,'600614,鹏起科技,0.0,0.0
2018-03-21,'600614,鹏起科技,0.0,0.0
2018-03-20,'600614,鹏起科技,0.0,0.0
2018-03-19,'600614,鹏起科技,0.0,0.0
2018-03-16,'600614,鹏起科技,0.0,0.0
2018-03-15,'600614,鹏起科技,0.0,0.0
2018-03-14,'600614,鹏起科技,0.0,0.0
2018-03-13,'600614,鹏起科技,0.0,0.0
2018-03-12,'600614,鹏起科技,0.0,0.0
2018-03-09,'600614,鹏起科技,0.0,0.0
2018-03-08,'600614,鹏起科技,0.0,0.0
2018-03-07,'600614,鹏起科技,0.0,0.0
2018-03-06,'600614,鹏起科技,0.0,0.0
2018-03-05,'600614,鹏起科技,0.0,0.0
2018-03-02,'600614,鹏起科技,0.0,0.0
2018-03-01,'600614,鹏起科技,0.0,0.0
2018-02-28,'600614,鹏起科技,0.0,0.0
2018-02-27,'600614,鹏起科技,0.0,0.0
2018-02-26,'600614,鹏起科技,0.0,0.0
2018-02-23,'600614,鹏起科技,0.0,0.0
2018-02-22,'600614,鹏起科技,0.0,0.0
2018-02-14,'600614,鹏起科技,0.0,0.0
2018-02-13,'600614,鹏起科技,0.0,0.0
2018-02-12,'600614,鹏起科技,0.0,0.0
2018-02-09,'600614,鹏起科技,0.0,0.0
2018-02-08,'600614,鹏起科技,0.0,0.0
2018-02-07,'600614,鹏起科技,0.0,0.0
2018-02-06,'600614,鹏起科技,0.0,0.0
2018-02-05,'600614,鹏起科技,0.0,0.0
2018-02-02,'600614,鹏起科技,0.0,0.0
2018-02-01,'600614,鹏起科技,0.0,0.0
2018-01-31,'600614,鹏起科技,0.0,0.0
2018-01-30,'600614,鹏起科技,0.0,0.0
2018-01-29,'600614,鹏起科技,0.0,0.0
2018-01-26,'600614,鹏起科技,0.0,0.0
2018-01-25,'600614,鹏起科技,0.0,0.0
2018-01-24,'600614,鹏起科技,0.0,0.0
2018-01-23,'600614,鹏起科技,0.0,0.0
2018-01-22,'600614,鹏起科技,0.0,0.0
2018-01-19,'600614,鹏起科技,0.0,0.0
2018-01-18,'600614,鹏起科技,0.0,0.0
2018-01-17,'600614,鹏起科技,0.0,0.0
2018-01-16,'600614,鹏起科技,0.0,0.0
2018-01-15,'600614,鹏起科技,0.0,0.0
2018-01-12,'600614,鹏起科技,0.0,0.0
