日期,股票代码,名称,收盘价,开盘价
2019-01-11,'000006,深振业Ａ,5.38,5.32
2019-01-10,'000006,深振业Ａ,5.29,5.36
2019-01-09,'000006,深振业Ａ,5.36,5.38
2019-01-08,'000006,深振业Ａ,5.32,5.36
2019-01-07,'000006,深振业Ａ,5.34,5.35
2019-01-04,'000006,深振业Ａ,5.26,5.09
2019-01-03,'000006,深振业Ａ,5.15,5.15
2019-01-02,'000006,深振业Ａ,5.15,5.18
2018-12-28,'000006,深振业Ａ,5.18,5.22
2018-12-27,'000006,深振业Ａ,5.16,5.3
2018-12-26,'000006,深振业Ａ,5.23,5.16
2018-12-25,'000006,深振业Ａ,5.17,5.22
2018-12-24,'000006,深振业Ａ,5.33,5.39
2018-12-21,'000006,深振业Ａ,5.39,5.41
2018-12-20,'000006,深振业Ａ,5.45,5.45
2018-12-19,'000006,深振业Ａ,5.49,5.46
2018-12-18,'000006,深振业Ａ,5.47,5.73
2018-12-17,'000006,深振业Ａ,5.8,5.79
2018-12-14,'000006,深振业Ａ,5.72,5.82
2018-12-13,'000006,深振业Ａ,5.84,5.87
2018-12-12,'000006,深振业Ａ,5.86,5.89
2018-12-11,'000006,深振业Ａ,5.93,5.66
2018-12-10,'000006,深振业Ａ,5.63,5.66
2018-12-07,'000006,深振业Ａ,5.71,5.62
2018-12-06,'000006,深振业Ａ,5.64,5.59
2018-12-05,'000006,深振业Ａ,5.67,5.5
2018-12-04,'000006,深振业Ａ,5.59,5.54
2018-12-03,'000006,深振业Ａ,5.54,5.53
2018-11-30,'000006,深振业Ａ,5.39,5.24
2018-11-29,'000006,深振业Ａ,5.34,5.44
2018-11-28,'000006,深振业Ａ,5.33,5.3
2018-11-27,'000006,深振业Ａ,5.3,5.34
2018-11-26,'000006,深振业Ａ,5.29,5.28
2018-11-23,'000006,深振业Ａ,5.27,5.54
2018-11-22,'000006,深振业Ａ,5.55,5.63
2018-11-21,'000006,深振业Ａ,5.62,5.48
2018-11-20,'000006,深振业Ａ,5.49,5.66
2018-11-19,'000006,深振业Ａ,5.81,5.67
2018-11-16,'000006,深振业Ａ,5.52,5.48
2018-11-15,'000006,深振业Ａ,5.5,5.24
2018-11-14,'000006,深振业Ａ,5.3,5.25
2018-11-13,'000006,深振业Ａ,5.28,5.1
2018-11-12,'000006,深振业Ａ,5.13,4.99
2018-11-09,'000006,深振业Ａ,5.03,5.06
2018-11-08,'000006,深振业Ａ,5.09,5.11
2018-11-07,'000006,深振业Ａ,5.08,5.13
2018-11-06,'000006,深振业Ａ,5.12,5.09
2018-11-05,'000006,深振业Ａ,5.13,5.12
2018-11-02,'000006,深振业Ａ,5.14,5.1
2018-11-01,'000006,深振业Ａ,5.04,5.13
2018-10-31,'000006,深振业Ａ,5.07,5.0
2018-10-30,'000006,深振业Ａ,4.99,4.92
2018-10-29,'000006,深振业Ａ,4.94,5.08
2018-10-26,'000006,深振业Ａ,5.1,5.05
2018-10-25,'000006,深振业Ａ,5.02,4.86
2018-10-24,'000006,深振业Ａ,5.08,5.06
2018-10-23,'000006,深振业Ａ,5.05,5.11
2018-10-22,'000006,深振业Ａ,5.07,4.92
2018-10-19,'000006,深振业Ａ,4.88,4.6
2018-10-18,'000006,深振业Ａ,4.72,4.73
2018-10-17,'000006,深振业Ａ,4.73,4.8
2018-10-16,'000006,深振业Ａ,4.67,4.78
2018-10-15,'000006,深振业Ａ,4.84,4.95
2018-10-12,'000006,深振业Ａ,4.83,4.63
2018-10-11,'000006,深振业Ａ,4.71,5.02
2018-10-10,'000006,深振业Ａ,5.23,5.25
2018-10-09,'000006,深振业Ａ,5.24,5.29
2018-10-08,'000006,深振业Ａ,5.22,5.49
2018-09-28,'000006,深振业Ａ,5.7,5.61
2018-09-27,'000006,深振业Ａ,5.65,5.63
2018-09-26,'000006,深振业Ａ,5.64,5.7
2018-09-25,'000006,深振业Ａ,5.66,5.7
2018-09-21,'000006,深振业Ａ,5.98,6.04
2018-09-20,'000006,深振业Ａ,6.14,5.6
2018-09-19,'000006,深振业Ａ,5.58,5.08
2018-09-18,'000006,深振业Ａ,5.07,4.97
2018-09-17,'000006,深振业Ａ,4.98,5.1
2018-09-14,'000006,深振业Ａ,5.12,5.14
2018-09-13,'000006,深振业Ａ,5.13,5.1
2018-09-12,'000006,深振业Ａ,5.07,5.11
2018-09-11,'000006,深振业Ａ,5.11,5.11
2018-09-10,'000006,深振业Ａ,5.08,5.22
2018-09-07,'000006,深振业Ａ,5.22,5.26
2018-09-06,'000006,深振业Ａ,5.26,5.32
2018-09-05,'000006,深振业Ａ,5.3,5.41
2018-09-04,'000006,深振业Ａ,5.44,5.39
2018-09-03,'000006,深振业Ａ,5.39,5.41
2018-08-31,'000006,深振业Ａ,5.41,5.49
2018-08-30,'000006,深振业Ａ,5.49,5.55
2018-08-29,'000006,深振业Ａ,5.55,5.58
2018-08-28,'000006,深振业Ａ,5.6,5.65
2018-08-27,'000006,深振业Ａ,5.6,5.48
2018-08-24,'000006,深振业Ａ,5.51,5.5
2018-08-23,'000006,深振业Ａ,5.5,5.46
2018-08-22,'000006,深振业Ａ,5.43,5.48
2018-08-21,'000006,深振业Ａ,5.51,5.45
2018-08-20,'000006,深振业Ａ,5.45,5.39
2018-08-17,'000006,深振业Ａ,5.38,5.52
2018-08-16,'000006,深振业Ａ,5.46,5.47
2018-08-15,'000006,深振业Ａ,5.51,5.73
2018-08-14,'000006,深振业Ａ,5.69,5.6
2018-08-13,'000006,深振业Ａ,5.65,5.68
2018-08-10,'000006,深振业Ａ,5.79,5.61
2018-08-09,'000006,深振业Ａ,5.6,5.5
2018-08-08,'000006,深振业Ａ,5.49,5.55
2018-08-07,'000006,深振业Ａ,5.55,5.43
2018-08-06,'000006,深振业Ａ,5.4,5.5
2018-08-03,'000006,深振业Ａ,5.49,5.43
2018-08-02,'000006,深振业Ａ,5.45,5.79
2018-08-01,'000006,深振业Ａ,5.76,5.81
2018-07-31,'000006,深振业Ａ,5.86,5.93
2018-07-30,'000006,深振业Ａ,5.96,6.0
2018-07-27,'000006,深振业Ａ,6.04,5.81
2018-07-26,'000006,深振业Ａ,5.81,5.78
2018-07-25,'000006,深振业Ａ,5.82,5.79
2018-07-24,'000006,深振业Ａ,5.8,5.61
2018-07-23,'000006,深振业Ａ,5.6,5.49
2018-07-20,'000006,深振业Ａ,5.51,5.39
2018-07-19,'000006,深振业Ａ,5.42,5.49
2018-07-18,'000006,深振业Ａ,5.47,5.52
2018-07-17,'000006,深振业Ａ,5.5,5.47
2018-07-16,'000006,深振业Ａ,5.51,5.5
2018-07-13,'000006,深振业Ａ,5.52,5.58
2018-07-12,'000006,深振业Ａ,5.47,5.29
2018-07-11,'000006,深振业Ａ,5.32,5.41
2018-07-10,'000006,深振业Ａ,5.5,5.45
2018-07-09,'000006,深振业Ａ,5.42,5.33
2018-07-06,'000006,深振业Ａ,5.32,5.4
2018-07-05,'000006,深振业Ａ,5.36,5.65
2018-07-04,'000006,深振业Ａ,5.7,5.61
2018-07-03,'000006,深振业Ａ,5.65,5.53
2018-07-02,'000006,深振业Ａ,5.5,5.83
2018-06-29,'000006,深振业Ａ,5.86,5.72
2018-06-28,'000006,深振业Ａ,5.7,5.76
2018-06-27,'000006,深振业Ａ,5.78,5.9
2018-06-26,'000006,深振业Ａ,5.91,5.86
2018-06-25,'000006,深振业Ａ,5.96,6.06
2018-06-22,'000006,深振业Ａ,5.99,5.96
2018-06-21,'000006,深振业Ａ,6.12,6.16
2018-06-20,'000006,深振业Ａ,6.19,6.16
2018-06-19,'000006,深振业Ａ,6.2,6.64
2018-06-15,'000006,深振业Ａ,6.89,6.94
2018-06-14,'000006,深振业Ａ,6.93,6.88
2018-06-13,'000006,深振业Ａ,6.92,6.92
2018-06-12,'000006,深振业Ａ,6.9,6.88
2018-06-11,'000006,深振业Ａ,6.87,6.85
2018-06-08,'000006,深振业Ａ,6.83,6.94
2018-06-07,'000006,深振业Ａ,6.94,6.94
2018-06-06,'000006,深振业Ａ,6.94,7.02
2018-06-05,'000006,深振业Ａ,7.02,6.91
2018-06-04,'000006,深振业Ａ,6.9,6.86
2018-06-01,'000006,深振业Ａ,6.9,6.87
2018-05-31,'000006,深振业Ａ,6.93,6.87
2018-05-30,'000006,深振业Ａ,6.82,7.01
2018-05-29,'000006,深振业Ａ,7.11,7.14
2018-05-28,'000006,深振业Ａ,7.17,7.36
2018-05-25,'000006,深振业Ａ,7.37,7.48
2018-05-24,'000006,深振业Ａ,7.5,7.4
2018-05-23,'000006,深振业Ａ,7.41,7.41
2018-05-22,'000006,深振业Ａ,7.46,7.5
2018-05-21,'000006,深振业Ａ,7.55,7.52
2018-05-18,'000006,深振业Ａ,7.51,7.49
2018-05-17,'000006,深振业Ａ,7.51,7.45
2018-05-16,'000006,深振业Ａ,7.44,7.37
2018-05-15,'000006,深振业Ａ,7.43,7.31
2018-05-14,'000006,深振业Ａ,7.31,7.42
2018-05-11,'000006,深振业Ａ,7.5,7.51
2018-05-10,'000006,深振业Ａ,7.56,7.33
2018-05-09,'000006,深振业Ａ,7.33,7.45
2018-05-08,'000006,深振业Ａ,7.48,7.29
2018-05-07,'000006,深振业Ａ,7.28,7.15
2018-05-04,'000006,深振业Ａ,7.14,7.12
2018-05-03,'000006,深振业Ａ,7.13,7.07
2018-05-02,'000006,深振业Ａ,7.06,7.01
2018-04-27,'000006,深振业Ａ,6.99,6.97
2018-04-26,'000006,深振业Ａ,6.9,7.13
2018-04-25,'000006,深振业Ａ,7.11,7.2
2018-04-24,'000006,深振业Ａ,7.26,6.87
2018-04-23,'000006,深振业Ａ,6.87,7.0
2018-04-20,'000006,深振业Ａ,7.0,7.1
2018-04-19,'000006,深振业Ａ,7.12,7.14
2018-04-18,'000006,深振业Ａ,7.13,7.16
2018-04-17,'000006,深振业Ａ,7.06,7.24
2018-04-16,'000006,深振业Ａ,7.24,7.25
2018-04-13,'000006,深振业Ａ,7.29,7.26
2018-04-12,'000006,深振业Ａ,7.14,7.25
2018-04-11,'000006,深振业Ａ,7.27,7.32
2018-04-10,'000006,深振业Ａ,7.3,7.21
2018-04-09,'000006,深振业Ａ,7.19,7.14
2018-04-04,'000006,深振业Ａ,7.15,7.15
2018-04-03,'000006,深振业Ａ,7.09,7.14
2018-04-02,'000006,深振业Ａ,7.25,7.32
2018-03-30,'000006,深振业Ａ,7.37,7.46
2018-03-29,'000006,深振业Ａ,7.52,7.28
2018-03-28,'000006,深振业Ａ,7.23,7.18
2018-03-27,'000006,深振业Ａ,7.29,7.28
2018-03-26,'000006,深振业Ａ,7.2,7.03
2018-03-23,'000006,深振业Ａ,7.18,7.52
2018-03-22,'000006,深振业Ａ,7.86,7.83
2018-03-21,'000006,深振业Ａ,7.81,7.86
2018-03-20,'000006,深振业Ａ,7.88,7.82
2018-03-19,'000006,深振业Ａ,7.91,7.91
2018-03-16,'000006,深振业Ａ,7.94,7.95
2018-03-15,'000006,深振业Ａ,7.95,8.2
2018-03-14,'000006,深振业Ａ,8.29,8.55
2018-03-13,'000006,深振业Ａ,8.7,8.65
2018-03-12,'000006,深振业Ａ,8.65,8.61
2018-03-09,'000006,深振业Ａ,8.8,8.61
2018-03-08,'000006,深振业Ａ,8.87,8.87
2018-03-07,'000006,深振业Ａ,0.0,0.0
2018-03-06,'000006,深振业Ａ,0.0,0.0
2018-03-05,'000006,深振业Ａ,0.0,0.0
2018-03-02,'000006,深振业Ａ,0.0,0.0
2018-03-01,'000006,深振业Ａ,0.0,0.0
2018-02-28,'000006,深振业Ａ,0.0,0.0
2018-02-27,'000006,深振业Ａ,0.0,0.0
2018-02-26,'000006,深振业Ａ,0.0,0.0
2018-02-23,'000006,深振业Ａ,0.0,0.0
2018-02-22,'000006,深振业Ａ,0.0,0.0
2018-02-14,'000006,深振业Ａ,0.0,0.0
2018-02-13,'000006,深振业Ａ,0.0,0.0
2018-02-12,'000006,深振业Ａ,0.0,0.0
2018-02-09,'000006,深振业Ａ,0.0,0.0
2018-02-08,'000006,深振业Ａ,0.0,0.0
2018-02-07,'000006,深振业Ａ,0.0,0.0
2018-02-06,'000006,深振业Ａ,0.0,0.0
2018-02-05,'000006,深振业Ａ,0.0,0.0
2018-02-02,'000006,深振业Ａ,0.0,0.0
2018-02-01,'000006,深振业Ａ,0.0,0.0
2018-01-31,'000006,深振业Ａ,0.0,0.0
2018-01-30,'000006,深振业Ａ,0.0,0.0
2018-01-29,'000006,深振业Ａ,0.0,0.0
2018-01-26,'000006,深振业Ａ,0.0,0.0
2018-01-25,'000006,深振业Ａ,0.0,0.0
2018-01-24,'000006,深振业Ａ,0.0,0.0
2018-01-23,'000006,深振业Ａ,0.0,0.0
2018-01-22,'000006,深振业Ａ,0.0,0.0
2018-01-19,'000006,深振业Ａ,0.0,0.0
2018-01-18,'000006,深振业Ａ,0.0,0.0
2018-01-17,'000006,深振业Ａ,0.0,0.0
2018-01-16,'000006,深振业Ａ,0.0,0.0
2018-01-15,'000006,深振业Ａ,0.0,0.0
2018-01-12,'000006,深振业Ａ,0.0,0.0
2018-01-11,'000006,深振业Ａ,0.0,0.0
2018-01-10,'000006,深振业Ａ,0.0,0.0
2018-01-09,'000006,深振业Ａ,0.0,0.0
2018-01-08,'000006,深振业Ａ,0.0,0.0
2018-01-05,'000006,深振业Ａ,0.0,0.0
2018-01-04,'000006,深振业Ａ,0.0,0.0
2018-01-03,'000006,深振业Ａ,0.0,0.0
2018-01-02,'000006,深振业Ａ,0.0,0.0
2017-12-29,'000006,深振业Ａ,0.0,0.0
2017-12-28,'000006,深振业Ａ,0.0,0.0
2017-12-27,'000006,深振业Ａ,0.0,0.0
2017-12-26,'000006,深振业Ａ,0.0,0.0
2017-12-25,'000006,深振业Ａ,0.0,0.0
2017-12-22,'000006,深振业Ａ,0.0,0.0
2017-12-21,'000006,深振业Ａ,0.0,0.0
2017-12-20,'000006,深振业Ａ,0.0,0.0
2017-12-19,'000006,深振业Ａ,0.0,0.0
2017-12-18,'000006,深振业Ａ,0.0,0.0
2017-12-15,'000006,深振业Ａ,0.0,0.0
2017-12-14,'000006,深振业Ａ,0.0,0.0
2017-12-13,'000006,深振业Ａ,0.0,0.0
2017-12-12,'000006,深振业Ａ,0.0,0.0
2017-12-11,'000006,深振业Ａ,0.0,0.0
2017-12-08,'000006,深振业Ａ,0.0,0.0
2017-12-07,'000006,深振业Ａ,0.0,0.0
2017-12-06,'000006,深振业Ａ,0.0,0.0
2017-12-05,'000006,深振业Ａ,0.0,0.0
2017-12-04,'000006,深振业Ａ,0.0,0.0
2017-12-01,'000006,深振业Ａ,0.0,0.0
2017-11-30,'000006,深振业Ａ,0.0,0.0
2017-11-29,'000006,深振业Ａ,0.0,0.0
2017-11-28,'000006,深振业Ａ,0.0,0.0
2017-11-27,'000006,深振业Ａ,0.0,0.0
2017-11-24,'000006,深振业Ａ,0.0,0.0
2017-11-23,'000006,深振业Ａ,0.0,0.0
2017-11-22,'000006,深振业Ａ,0.0,0.0
2017-11-21,'000006,深振业Ａ,0.0,0.0
2017-11-20,'000006,深振业Ａ,0.0,0.0
2017-11-17,'000006,深振业Ａ,0.0,0.0
2017-11-16,'000006,深振业Ａ,0.0,0.0
2017-11-15,'000006,深振业Ａ,0.0,0.0
2017-11-14,'000006,深振业Ａ,0.0,0.0
2017-11-13,'000006,深振业Ａ,0.0,0.0
2017-11-10,'000006,深振业Ａ,0.0,0.0
2017-11-09,'000006,深振业Ａ,0.0,0.0
2017-11-08,'000006,深振业Ａ,0.0,0.0
2017-11-07,'000006,深振业Ａ,0.0,0.0
2017-11-06,'000006,深振业Ａ,0.0,0.0
2017-11-03,'000006,深振业Ａ,0.0,0.0
2017-11-02,'000006,深振业Ａ,0.0,0.0
2017-11-01,'000006,深振业Ａ,0.0,0.0
2017-10-31,'000006,深振业Ａ,0.0,0.0
2017-10-30,'000006,深振业Ａ,0.0,0.0
2017-10-27,'000006,深振业Ａ,0.0,0.0
2017-10-26,'000006,深振业Ａ,0.0,0.0
2017-10-25,'000006,深振业Ａ,0.0,0.0
2017-10-24,'000006,深振业Ａ,0.0,0.0
2017-10-23,'000006,深振业Ａ,0.0,0.0
2017-10-20,'000006,深振业Ａ,0.0,0.0
2017-10-19,'000006,深振业Ａ,0.0,0.0
2017-10-18,'000006,深振业Ａ,0.0,0.0
2017-10-17,'000006,深振业Ａ,0.0,0.0
2017-10-16,'000006,深振业Ａ,0.0,0.0
2017-10-13,'000006,深振业Ａ,0.0,0.0
2017-10-12,'000006,深振业Ａ,0.0,0.0
2017-10-11,'000006,深振业Ａ,0.0,0.0
2017-10-10,'000006,深振业Ａ,0.0,0.0
2017-10-09,'000006,深振业Ａ,0.0,0.0
2017-09-29,'000006,深振业Ａ,0.0,0.0
2017-09-28,'000006,深振业Ａ,0.0,0.0
2017-09-27,'000006,深振业Ａ,0.0,0.0
2017-09-26,'000006,深振业Ａ,0.0,0.0
2017-09-25,'000006,深振业Ａ,0.0,0.0
2017-09-22,'000006,深振业Ａ,0.0,0.0
2017-09-21,'000006,深振业Ａ,0.0,0.0
2017-09-20,'000006,深振业Ａ,0.0,0.0
2017-09-19,'000006,深振业Ａ,0.0,0.0
2017-09-18,'000006,深振业Ａ,0.0,0.0
2017-09-15,'000006,深振业Ａ,0.0,0.0
2017-09-14,'000006,深振业Ａ,0.0,0.0
2017-09-13,'000006,深振业Ａ,0.0,0.0
2017-09-12,'000006,深振业Ａ,0.0,0.0
2017-09-11,'000006,深振业Ａ,0.0,0.0
2017-09-08,'000006,深振业Ａ,9.85,9.3
2017-09-07,'000006,深振业Ａ,9.34,9.01
2017-09-06,'000006,深振业Ａ,9.09,8.87
2017-09-05,'000006,深振业Ａ,8.85,8.79
2017-09-04,'000006,深振业Ａ,8.77,8.4
2017-09-01,'000006,深振业Ａ,8.42,8.49
2017-08-31,'000006,深振业Ａ,8.45,8.5
2017-08-30,'000006,深振业Ａ,8.58,8.47
2017-08-29,'000006,深振业Ａ,8.41,8.46
2017-08-28,'000006,深振业Ａ,8.41,8.36
2017-08-25,'000006,深振业Ａ,8.37,8.27
2017-08-24,'000006,深振业Ａ,8.28,8.29
2017-08-23,'000006,深振业Ａ,8.29,8.33
2017-08-22,'000006,深振业Ａ,8.33,8.38
2017-08-21,'000006,深振业Ａ,8.37,8.4
2017-08-18,'000006,深振业Ａ,8.36,8.27
2017-08-17,'000006,深振业Ａ,8.29,8.22
2017-08-16,'000006,深振业Ａ,8.26,8.25
2017-08-15,'000006,深振业Ａ,8.26,8.18
2017-08-14,'000006,深振业Ａ,8.18,8.13
2017-08-11,'000006,深振业Ａ,8.12,8.34
2017-08-10,'000006,深振业Ａ,8.4,8.4
2017-08-09,'000006,深振业Ａ,8.43,8.4
2017-08-08,'000006,深振业Ａ,8.46,8.4
2017-08-07,'000006,深振业Ａ,8.4,8.36
2017-08-04,'000006,深振业Ａ,8.35,8.33
2017-08-03,'000006,深振业Ａ,8.34,8.45
2017-08-02,'000006,深振业Ａ,8.46,8.6
2017-08-01,'000006,深振业Ａ,8.63,8.49
2017-07-31,'000006,深振业Ａ,8.51,8.47
2017-07-28,'000006,深振业Ａ,8.5,8.55
2017-07-27,'000006,深振业Ａ,8.59,8.46
2017-07-26,'000006,深振业Ａ,8.45,8.57
2017-07-25,'000006,深振业Ａ,8.59,8.48
2017-07-24,'000006,深振业Ａ,8.53,8.44
2017-07-21,'000006,深振业Ａ,8.47,8.43
2017-07-20,'000006,深振业Ａ,8.49,8.33
2017-07-19,'000006,深振业Ａ,8.27,8.19
2017-07-18,'000006,深振业Ａ,8.19,8.09
2017-07-17,'000006,深振业Ａ,8.1,8.45
2017-07-14,'000006,深振业Ａ,8.45,8.58
2017-07-13,'000006,深振业Ａ,8.56,8.51
2017-07-12,'000006,深振业Ａ,8.47,8.6
2017-07-11,'000006,深振业Ａ,8.59,8.61
2017-07-10,'000006,深振业Ａ,8.61,8.48
2017-07-07,'000006,深振业Ａ,8.52,8.49
2017-07-06,'000006,深振业Ａ,8.52,8.56
2017-07-05,'000006,深振业Ａ,8.66,8.54
2017-07-04,'000006,深振业Ａ,8.56,8.64
2017-07-03,'000006,深振业Ａ,8.64,8.86
2017-06-30,'000006,深振业Ａ,8.81,8.88
2017-06-29,'000006,深振业Ａ,8.87,8.7
2017-06-28,'000006,深振业Ａ,8.71,8.69
2017-06-27,'000006,深振业Ａ,8.72,8.68
2017-06-26,'000006,深振业Ａ,8.7,8.59
2017-06-23,'000006,深振业Ａ,8.59,8.5
2017-06-22,'000006,深振业Ａ,8.5,8.73
2017-06-21,'000006,深振业Ａ,8.76,8.84
2017-06-20,'000006,深振业Ａ,8.87,8.85
2017-06-19,'000006,深振业Ａ,8.85,8.73
2017-06-16,'000006,深振业Ａ,8.74,8.79
2017-06-15,'000006,深振业Ａ,8.94,8.83
2017-06-14,'000006,深振业Ａ,8.9,8.81
2017-06-13,'000006,深振业Ａ,8.98,8.87
2017-06-12,'000006,深振业Ａ,8.94,9.1
2017-06-09,'000006,深振业Ａ,9.12,8.91
2017-06-08,'000006,深振业Ａ,8.85,8.8
2017-06-07,'000006,深振业Ａ,8.82,8.53
2017-06-06,'000006,深振业Ａ,8.53,8.44
2017-06-05,'000006,深振业Ａ,8.48,8.47
2017-06-02,'000006,深振业Ａ,8.47,8.21
2017-06-01,'000006,深振业Ａ,8.21,8.3
2017-05-31,'000006,深振业Ａ,8.39,8.64
2017-05-26,'000006,深振业Ａ,8.46,8.31
2017-05-25,'000006,深振业Ａ,8.3,8.05
2017-05-24,'000006,深振业Ａ,8.1,8.05
2017-05-23,'000006,深振业Ａ,8.17,8.38
2017-05-22,'000006,深振业Ａ,8.42,8.55
2017-05-19,'000006,深振业Ａ,8.77,8.19
2017-05-18,'000006,深振业Ａ,8.14,7.99
2017-05-17,'000006,深振业Ａ,8.06,7.99
2017-05-16,'000006,深振业Ａ,8.06,7.83
2017-05-15,'000006,深振业Ａ,7.86,7.89
2017-05-12,'000006,深振业Ａ,8.0,7.9
2017-05-11,'000006,深振业Ａ,7.91,7.7
2017-05-10,'000006,深振业Ａ,7.75,7.94
2017-05-09,'000006,深振业Ａ,7.91,7.81
2017-05-08,'000006,深振业Ａ,7.82,8.13
2017-05-05,'000006,深振业Ａ,8.15,8.38
2017-05-04,'000006,深振业Ａ,8.43,8.41
2017-05-03,'000006,深振业Ａ,8.39,8.28
2017-05-02,'000006,深振业Ａ,8.27,8.3
2017-04-28,'000006,深振业Ａ,8.32,8.24
2017-04-27,'000006,深振业Ａ,8.2,8.19
2017-04-26,'000006,深振业Ａ,8.22,8.18
2017-04-25,'000006,深振业Ａ,8.13,8.14
