日期,股票代码,名称,收盘价,开盘价
2019-01-11,'000815,美利云,7.45,6.99
2019-01-10,'000815,美利云,7.04,7.09
2019-01-09,'000815,美利云,7.13,7.11
2019-01-08,'000815,美利云,7.12,7.19
2019-01-07,'000815,美利云,7.16,6.9
2019-01-04,'000815,美利云,6.85,6.6
2019-01-03,'000815,美利云,6.69,6.71
2019-01-02,'000815,美利云,6.83,6.86
2018-12-28,'000815,美利云,6.75,6.89
2018-12-27,'000815,美利云,6.83,6.85
2018-12-26,'000815,美利云,6.82,6.69
2018-12-25,'000815,美利云,6.54,6.78
2018-12-24,'000815,美利云,6.83,6.83
2018-12-21,'000815,美利云,6.83,6.86
2018-12-20,'000815,美利云,6.96,6.75
2018-12-19,'000815,美利云,6.9,6.99
2018-12-18,'000815,美利云,6.92,7.01
2018-12-17,'000815,美利云,7.04,7.08
2018-12-14,'000815,美利云,7.07,7.22
2018-12-13,'000815,美利云,7.22,7.17
2018-12-12,'000815,美利云,7.17,7.21
2018-12-11,'000815,美利云,7.16,7.16
2018-12-10,'000815,美利云,7.07,7.19
2018-12-07,'000815,美利云,7.21,7.2
2018-12-06,'000815,美利云,7.24,7.37
2018-12-05,'000815,美利云,7.37,7.37
2018-12-04,'000815,美利云,7.52,7.35
2018-12-03,'000815,美利云,7.32,7.22
2018-11-30,'000815,美利云,7.07,7.0
2018-11-29,'000815,美利云,7.0,7.3
2018-11-28,'000815,美利云,7.28,7.21
2018-11-27,'000815,美利云,7.21,7.4
2018-11-26,'000815,美利云,7.25,7.11
2018-11-23,'000815,美利云,7.09,7.71
2018-11-22,'000815,美利云,7.76,8.0
2018-11-21,'000815,美利云,7.8,7.76
2018-11-20,'000815,美利云,7.9,7.88
2018-11-19,'000815,美利云,8.05,8.05
2018-11-16,'000815,美利云,8.12,7.74
2018-11-15,'000815,美利云,7.69,7.24
2018-11-14,'000815,美利云,7.22,7.25
2018-11-13,'000815,美利云,7.27,7.02
2018-11-12,'000815,美利云,7.14,6.88
2018-11-09,'000815,美利云,6.98,6.95
2018-11-08,'000815,美利云,6.95,7.05
2018-11-07,'000815,美利云,6.95,7.0
2018-11-06,'000815,美利云,6.96,6.92
2018-11-05,'000815,美利云,6.99,7.03
2018-11-02,'000815,美利云,7.08,7.09
2018-11-01,'000815,美利云,6.9,6.74
2018-10-31,'000815,美利云,6.73,6.66
2018-10-30,'000815,美利云,6.64,6.65
2018-10-29,'000815,美利云,6.75,6.49
2018-10-26,'000815,美利云,6.58,6.5
2018-10-25,'000815,美利云,6.55,6.5
2018-10-24,'000815,美利云,6.71,6.59
2018-10-23,'000815,美利云,6.66,6.76
2018-10-22,'000815,美利云,6.72,6.57
2018-10-19,'000815,美利云,6.45,6.2
2018-10-18,'000815,美利云,6.32,6.64
2018-10-17,'000815,美利云,6.66,6.72
2018-10-16,'000815,美利云,6.65,6.83
2018-10-15,'000815,美利云,6.74,6.88
2018-10-12,'000815,美利云,6.91,7.03
2018-10-11,'000815,美利云,7.04,7.71
2018-10-10,'000815,美利云,7.82,7.66
2018-10-09,'000815,美利云,7.71,7.71
2018-10-08,'000815,美利云,7.71,7.94
2018-09-28,'000815,美利云,8.0,7.9
2018-09-27,'000815,美利云,7.89,8.1
