日期,股票代码,名称,收盘价,开盘价
2019-01-11,'000698,沈阳化工,3.86,3.83
2019-01-10,'000698,沈阳化工,3.82,3.81
2019-01-09,'000698,沈阳化工,3.82,3.82
2019-01-08,'000698,沈阳化工,3.81,3.81
2019-01-07,'000698,沈阳化工,3.81,3.75
2019-01-04,'000698,沈阳化工,3.74,3.63
2019-01-03,'000698,沈阳化工,3.66,3.68
2019-01-02,'000698,沈阳化工,3.67,3.64
2018-12-28,'000698,沈阳化工,3.64,3.63
2018-12-27,'000698,沈阳化工,3.62,3.74
2018-12-26,'000698,沈阳化工,3.68,3.73
2018-12-25,'000698,沈阳化工,3.72,3.78
2018-12-24,'000698,沈阳化工,3.8,3.78
2018-12-21,'000698,沈阳化工,3.77,3.82
2018-12-20,'000698,沈阳化工,3.83,3.8
2018-12-19,'000698,沈阳化工,3.82,3.85
2018-12-18,'000698,沈阳化工,3.85,3.91
2018-12-17,'000698,沈阳化工,3.91,3.88
2018-12-14,'000698,沈阳化工,3.88,4.04
2018-12-13,'000698,沈阳化工,4.03,4.0
2018-12-12,'000698,沈阳化工,4.0,3.99
2018-12-11,'000698,沈阳化工,3.97,3.94
2018-12-10,'000698,沈阳化工,3.93,3.98
2018-12-07,'000698,沈阳化工,4.0,4.0
2018-12-06,'000698,沈阳化工,3.97,4.06
2018-12-05,'000698,沈阳化工,4.04,4.05
2018-12-04,'000698,沈阳化工,4.1,4.1
2018-12-03,'000698,沈阳化工,4.08,4.05
2018-11-30,'000698,沈阳化工,4.0,3.98
2018-11-29,'000698,沈阳化工,3.98,4.05
2018-11-28,'000698,沈阳化工,4.05,3.97
2018-11-27,'000698,沈阳化工,3.99,4.0
2018-11-26,'000698,沈阳化工,4.0,3.99
2018-11-23,'000698,沈阳化工,4.01,4.11
2018-11-22,'000698,沈阳化工,4.09,4.14
2018-11-21,'000698,沈阳化工,4.09,4.07
2018-11-20,'000698,沈阳化工,4.09,4.17
2018-11-19,'000698,沈阳化工,4.2,4.2
2018-11-16,'000698,沈阳化工,4.22,4.19
2018-11-15,'000698,沈阳化工,4.18,4.14
2018-11-14,'000698,沈阳化工,4.13,4.11
2018-11-13,'000698,沈阳化工,4.13,4.01
2018-11-12,'000698,沈阳化工,4.06,3.92
2018-11-09,'000698,沈阳化工,3.92,3.96
2018-11-08,'000698,沈阳化工,3.94,3.98
2018-11-07,'000698,沈阳化工,3.97,3.95
2018-11-06,'000698,沈阳化工,3.95,3.95
2018-11-05,'000698,沈阳化工,3.94,3.91
2018-11-02,'000698,沈阳化工,3.93,3.86
2018-11-01,'000698,沈阳化工,3.84,3.88
2018-10-31,'000698,沈阳化工,3.85,3.81
2018-10-30,'000698,沈阳化工,3.8,3.79
2018-10-29,'000698,沈阳化工,3.79,3.77
2018-10-26,'000698,沈阳化工,3.84,3.9
2018-10-25,'000698,沈阳化工,3.83,3.72
2018-10-24,'000698,沈阳化工,3.81,3.78
2018-10-23,'000698,沈阳化工,3.81,3.84
2018-10-22,'000698,沈阳化工,3.84,3.7
2018-10-19,'000698,沈阳化工,3.69,3.64
2018-10-18,'000698,沈阳化工,3.66,3.8
2018-10-17,'000698,沈阳化工,3.79,3.78
2018-10-16,'000698,沈阳化工,3.75,3.85
2018-10-15,'000698,沈阳化工,3.83,3.88
2018-10-12,'000698,沈阳化工,3.85,3.94
2018-10-11,'000698,沈阳化工,3.96,4.18
2018-10-10,'000698,沈阳化工,4.27,4.23
2018-10-09,'000698,沈阳化工,4.22,4.18
2018-10-08,'000698,沈阳化工,4.16,4.19
2018-09-28,'000698,沈阳化工,4.2,4.17
2018-09-27,'000698,沈阳化工,4.16,4.23
2018-09-26,'000698,沈阳化工,4.23,4.27
2018-09-25,'000698,沈阳化工,4.28,4.21
2018-09-21,'000698,沈阳化工,4.24,4.19
2018-09-20,'000698,沈阳化工,4.2,4.19
2018-09-19,'000698,沈阳化工,4.2,4.14
2018-09-18,'000698,沈阳化工,4.16,4.1
2018-09-17,'000698,沈阳化工,4.08,4.16
2018-09-14,'000698,沈阳化工,4.17,4.21
2018-09-13,'000698,沈阳化工,4.23,4.21
2018-09-12,'000698,沈阳化工,4.18,4.16
2018-09-11,'000698,沈阳化工,4.16,4.17
2018-09-10,'000698,沈阳化工,4.18,4.19
2018-09-07,'000698,沈阳化工,4.19,4.14
2018-09-06,'000698,沈阳化工,4.15,4.15
2018-09-05,'000698,沈阳化工,4.17,4.25
2018-09-04,'000698,沈阳化工,4.25,4.15
2018-09-03,'000698,沈阳化工,4.15,4.19
2018-08-31,'000698,沈阳化工,4.18,4.19
2018-08-30,'000698,沈阳化工,4.23,4.25
2018-08-29,'000698,沈阳化工,4.27,4.23
2018-08-28,'000698,沈阳化工,4.25,4.26
2018-08-27,'000698,沈阳化工,4.26,4.23
2018-08-24,'000698,沈阳化工,4.21,4.18
2018-08-23,'000698,沈阳化工,4.18,4.17
2018-08-22,'000698,沈阳化工,4.15,4.22
2018-08-21,'000698,沈阳化工,4.21,4.18
2018-08-20,'000698,沈阳化工,4.18,4.21
2018-08-17,'000698,沈阳化工,4.24,4.36
2018-08-16,'000698,沈阳化工,4.45,4.6
2018-08-15,'000698,沈阳化工,4.43,4.3
2018-08-14,'000698,沈阳化工,4.3,4.28
2018-08-13,'000698,沈阳化工,4.3,4.31
2018-08-10,'000698,沈阳化工,4.35,4.37
2018-08-09,'000698,沈阳化工,4.37,4.28
2018-08-08,'000698,沈阳化工,4.34,4.33
2018-08-07,'000698,沈阳化工,4.34,4.11
2018-08-06,'000698,沈阳化工,4.1,4.15
2018-08-03,'000698,沈阳化工,4.14,4.12
2018-08-02,'000698,沈阳化工,4.1,4.2
2018-08-01,'000698,沈阳化工,4.22,4.32
2018-07-31,'000698,沈阳化工,4.31,4.3
2018-07-30,'000698,沈阳化工,4.32,4.37
2018-07-27,'000698,沈阳化工,4.37,4.39
2018-07-26,'000698,沈阳化工,4.39,4.42
2018-07-25,'000698,沈阳化工,4.42,4.36
2018-07-24,'000698,沈阳化工,4.36,4.29
2018-07-23,'000698,沈阳化工,4.29,4.23
2018-07-20,'000698,沈阳化工,4.22,4.09
2018-07-19,'000698,沈阳化工,4.09,4.17
2018-07-18,'000698,沈阳化工,4.15,4.15
2018-07-17,'000698,沈阳化工,4.14,4.14
2018-07-16,'000698,沈阳化工,4.14,4.15
2018-07-13,'000698,沈阳化工,4.18,4.17
2018-07-12,'000698,沈阳化工,4.17,4.07
2018-07-11,'000698,沈阳化工,4.07,4.16
2018-07-10,'000698,沈阳化工,4.19,4.17
2018-07-09,'000698,沈阳化工,4.18,4.09
2018-07-06,'000698,沈阳化工,4.12,4.1
2018-07-05,'000698,沈阳化工,4.15,4.24
2018-07-04,'000698,沈阳化工,4.26,4.3
2018-07-03,'000698,沈阳化工,4.32,4.25
2018-07-02,'000698,沈阳化工,4.29,4.32
2018-06-29,'000698,沈阳化工,4.28,4.2
2018-06-28,'000698,沈阳化工,4.2,4.26
2018-06-27,'000698,沈阳化工,4.26,4.24
2018-06-26,'000698,沈阳化工,4.24,4.18
2018-06-25,'000698,沈阳化工,4.21,4.3
2018-06-22,'000698,沈阳化工,4.25,4.24
2018-06-21,'000698,沈阳化工,4.23,4.24
2018-06-20,'000698,沈阳化工,4.25,4.25
2018-06-19,'000698,沈阳化工,4.25,4.58
2018-06-15,'000698,沈阳化工,4.65,4.72
2018-06-14,'000698,沈阳化工,4.73,4.72
2018-06-13,'000698,沈阳化工,4.71,4.63
2018-06-12,'000698,沈阳化工,4.64,4.54
2018-06-11,'000698,沈阳化工,4.55,4.56
2018-06-08,'000698,沈阳化工,4.58,4.7
2018-06-07,'000698,沈阳化工,4.7,4.76
2018-06-06,'000698,沈阳化工,4.77,4.76
2018-06-05,'000698,沈阳化工,4.76,4.74
2018-06-04,'000698,沈阳化工,4.73,4.7
2018-06-01,'000698,沈阳化工,4.69,4.74
2018-05-31,'000698,沈阳化工,4.77,4.78
2018-05-30,'000698,沈阳化工,4.73,4.87
2018-05-29,'000698,沈阳化工,4.91,4.96
2018-05-28,'000698,沈阳化工,4.96,5.03
2018-05-25,'000698,沈阳化工,5.02,5.04
2018-05-24,'000698,沈阳化工,5.06,5.09
2018-05-23,'000698,沈阳化工,5.09,5.2
2018-05-22,'000698,沈阳化工,5.21,5.21
2018-05-21,'000698,沈阳化工,5.22,5.21
2018-05-18,'000698,沈阳化工,5.19,5.04
2018-05-17,'000698,沈阳化工,5.05,5.04
2018-05-16,'000698,沈阳化工,5.06,4.88
2018-05-15,'000698,沈阳化工,4.9,4.87
2018-05-14,'000698,沈阳化工,4.9,4.94
2018-05-11,'000698,沈阳化工,4.94,5.02
