日期,股票代码,名称,收盘价,开盘价
2019-01-11,'000716,黑芝麻,3.07,2.98
2019-01-10,'000716,黑芝麻,2.98,2.97
2019-01-09,'000716,黑芝麻,2.97,2.96
2019-01-08,'000716,黑芝麻,2.96,2.99
2019-01-07,'000716,黑芝麻,2.99,2.93
2019-01-04,'000716,黑芝麻,2.96,2.93
2019-01-03,'000716,黑芝麻,2.83,2.82
2019-01-02,'000716,黑芝麻,2.82,2.81
2018-12-28,'000716,黑芝麻,2.79,2.82
2018-12-27,'000716,黑芝麻,2.8,2.89
2018-12-26,'000716,黑芝麻,2.87,2.86
2018-12-25,'000716,黑芝麻,2.85,2.9
2018-12-24,'000716,黑芝麻,2.93,2.92
2018-12-21,'000716,黑芝麻,2.92,2.92
2018-12-20,'000716,黑芝麻,2.95,2.94
2018-12-19,'000716,黑芝麻,2.94,3.0
2018-12-18,'000716,黑芝麻,2.96,3.02
2018-12-17,'000716,黑芝麻,3.05,3.01
2018-12-14,'000716,黑芝麻,3.02,3.11
2018-12-13,'000716,黑芝麻,3.09,3.07
2018-12-12,'000716,黑芝麻,3.07,3.08
2018-12-11,'000716,黑芝麻,3.08,3.09
2018-12-10,'000716,黑芝麻,3.08,3.23
2018-12-07,'000716,黑芝麻,3.23,3.18
2018-12-06,'000716,黑芝麻,3.16,3.23
2018-12-05,'000716,黑芝麻,3.21,3.21
2018-12-04,'000716,黑芝麻,3.27,3.2
2018-12-03,'000716,黑芝麻,3.18,3.11
2018-11-30,'000716,黑芝麻,3.06,2.96
2018-11-29,'000716,黑芝麻,3.05,3.2
2018-11-28,'000716,黑芝麻,3.21,3.17
2018-11-27,'000716,黑芝麻,3.15,3.17
2018-11-26,'000716,黑芝麻,3.15,3.19
2018-11-23,'000716,黑芝麻,3.15,3.33
2018-11-22,'000716,黑芝麻,3.34,3.34
2018-11-21,'000716,黑芝麻,3.32,3.27
2018-11-20,'000716,黑芝麻,3.27,3.37
2018-11-19,'000716,黑芝麻,3.39,3.4
2018-11-16,'000716,黑芝麻,3.35,3.4
2018-11-15,'000716,黑芝麻,3.36,3.38
2018-11-14,'000716,黑芝麻,3.37,3.35
2018-11-13,'000716,黑芝麻,3.34,3.14
2018-11-12,'000716,黑芝麻,3.2,3.02
2018-11-09,'000716,黑芝麻,3.01,2.99
2018-11-08,'000716,黑芝麻,3.01,2.98
2018-11-07,'000716,黑芝麻,2.96,3.0
2018-11-06,'000716,黑芝麻,3.01,2.98
2018-11-05,'000716,黑芝麻,2.97,2.97
2018-11-02,'000716,黑芝麻,2.96,2.96
2018-11-01,'000716,黑芝麻,2.93,2.9
2018-10-31,'000716,黑芝麻,2.89,2.84
2018-10-30,'000716,黑芝麻,2.84,2.75
2018-10-29,'000716,黑芝麻,2.77,2.81
2018-10-26,'000716,黑芝麻,2.83,2.79
2018-10-25,'000716,黑芝麻,2.79,2.73
2018-10-24,'000716,黑芝麻,2.81,2.74
2018-10-23,'000716,黑芝麻,2.76,2.75
2018-10-22,'000716,黑芝麻,2.76,2.65
2018-10-19,'000716,黑芝麻,2.63,2.56
2018-10-18,'000716,黑芝麻,2.6,2.71
2018-10-17,'000716,黑芝麻,2.71,2.74
2018-10-16,'000716,黑芝麻,2.7,2.77
2018-10-15,'000716,黑芝麻,2.78,2.79
2018-10-12,'000716,黑芝麻,2.8,2.84
2018-10-11,'000716,黑芝麻,2.84,3.1
2018-10-10,'000716,黑芝麻,3.16,3.13
2018-10-09,'000716,黑芝麻,3.12,3.15
2018-10-08,'000716,黑芝麻,3.15,3.22
2018-09-28,'000716,黑芝麻,3.27,3.25
2018-09-27,'000716,黑芝麻,3.25,3.31
2018-09-26,'000716,黑芝麻,3.31,3.31
2018-09-25,'000716,黑芝麻,3.3,3.34
2018-09-21,'000716,黑芝麻,3.37,3.32
2018-09-20,'000716,黑芝麻,3.3,3.31
2018-09-19,'000716,黑芝麻,3.31,3.29
2018-09-18,'000716,黑芝麻,3.29,3.22
2018-09-17,'000716,黑芝麻,3.25,3.29
2018-09-14,'000716,黑芝麻,3.3,3.31
2018-09-13,'000716,黑芝麻,3.29,3.3
2018-09-12,'000716,黑芝麻,3.28,3.27
2018-09-11,'000716,黑芝麻,3.29,3.28
2018-09-10,'000716,黑芝麻,3.31,3.25
2018-09-07,'000716,黑芝麻,3.25,3.22
2018-09-06,'000716,黑芝麻,3.22,3.25
2018-09-05,'000716,黑芝麻,3.25,3.29
2018-09-04,'000716,黑芝麻,3.29,3.21
2018-09-03,'000716,黑芝麻,3.21,3.24
2018-08-31,'000716,黑芝麻,3.24,3.34
2018-08-30,'000716,黑芝麻,3.34,3.34
2018-08-29,'000716,黑芝麻,3.34,3.36
2018-08-28,'000716,黑芝麻,3.37,3.38
2018-08-27,'000716,黑芝麻,3.38,3.33
2018-08-24,'000716,黑芝麻,3.37,3.38
2018-08-23,'000716,黑芝麻,3.38,3.36
2018-08-22,'000716,黑芝麻,3.38,3.4
2018-08-21,'000716,黑芝麻,3.41,3.38
2018-08-20,'000716,黑芝麻,3.38,3.39
2018-08-17,'000716,黑芝麻,3.41,3.47
2018-08-16,'000716,黑芝麻,3.54,3.51
2018-08-15,'000716,黑芝麻,3.54,3.63
2018-08-14,'000716,黑芝麻,3.63,3.59
2018-08-13,'000716,黑芝麻,3.59,3.6
