日期,股票代码,名称,收盘价,开盘价
2019-01-11,'000820,神雾节能,6.1,6.0
2019-01-10,'000820,神雾节能,6.01,6.04
2019-01-09,'000820,神雾节能,6.07,6.07
2019-01-08,'000820,神雾节能,6.07,6.11
2019-01-07,'000820,神雾节能,6.18,6.02
2019-01-04,'000820,神雾节能,6.1,5.96
2019-01-03,'000820,神雾节能,6.13,5.69
2019-01-02,'000820,神雾节能,5.57,5.62
2018-12-28,'000820,神雾节能,5.59,5.71
2018-12-27,'000820,神雾节能,5.65,6.05
2018-12-26,'000820,神雾节能,5.92,5.96
2018-12-25,'000820,神雾节能,5.96,6.09
2018-12-24,'000820,神雾节能,6.19,6.19
2018-12-21,'000820,神雾节能,6.3,6.43
2018-12-20,'000820,神雾节能,6.38,6.16
2018-12-19,'000820,神雾节能,6.3,6.34
2018-12-18,'000820,神雾节能,6.28,6.26
2018-12-17,'000820,神雾节能,6.34,6.36
2018-12-14,'000820,神雾节能,6.4,6.59
2018-12-13,'000820,神雾节能,6.58,6.58
2018-12-12,'000820,神雾节能,6.57,6.72
2018-12-11,'000820,神雾节能,6.72,6.73
2018-12-10,'000820,神雾节能,6.73,6.77
2018-12-07,'000820,神雾节能,6.89,6.73
2018-12-06,'000820,神雾节能,6.68,6.95
2018-12-05,'000820,神雾节能,7.0,6.85
2018-12-04,'000820,神雾节能,7.09,7.0
2018-12-03,'000820,神雾节能,6.99,6.76
2018-11-30,'000820,神雾节能,6.65,6.71
2018-11-29,'000820,神雾节能,6.7,6.89
2018-11-28,'000820,神雾节能,6.8,6.83
2018-11-27,'000820,神雾节能,6.8,6.95
2018-11-26,'000820,神雾节能,6.86,6.86
2018-11-23,'000820,神雾节能,6.79,7.3
2018-11-22,'000820,神雾节能,7.26,7.17
2018-11-21,'000820,神雾节能,7.15,6.83
2018-11-20,'000820,神雾节能,7.02,6.97
2018-11-19,'000820,神雾节能,6.94,7.15
2018-11-16,'000820,神雾节能,7.29,7.4
2018-11-15,'000820,神雾节能,7.37,7.31
2018-11-14,'000820,神雾节能,7.36,7.58
2018-11-13,'000820,神雾节能,7.63,7.53
2018-11-12,'000820,神雾节能,7.72,7.14
2018-11-09,'000820,神雾节能,7.02,7.02
2018-11-08,'000820,神雾节能,7.04,6.8
2018-11-07,'000820,神雾节能,6.83,6.6
2018-11-06,'000820,神雾节能,6.57,6.67
2018-11-05,'000820,神雾节能,6.68,6.5
2018-11-02,'000820,神雾节能,6.5,6.32
2018-11-01,'000820,神雾节能,6.21,6.27
2018-10-31,'000820,神雾节能,6.2,6.14
2018-10-30,'000820,神雾节能,6.1,6.04
2018-10-29,'000820,神雾节能,6.12,6.19
2018-10-26,'000820,神雾节能,6.23,6.36
2018-10-25,'000820,神雾节能,6.27,6.11
2018-10-24,'000820,神雾节能,6.46,6.54
2018-10-23,'000820,神雾节能,6.74,6.29
2018-10-22,'000820,神雾节能,6.25,6.16
2018-10-19,'000820,神雾节能,6.01,5.84
2018-10-18,'000820,神雾节能,5.9,6.25
2018-10-17,'000820,神雾节能,6.28,6.3
